source,source_type,type,_weight,target,target_type,_last_edited_by,_last_edited_date,_date_added,_date,_raw_source,_algorithm,_articleid,_journal
"Murphy, Marshall and Pope",Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Junior Shurdlu,2035-04-03 15:00:00,2035-04-03 15:00:00,2035-04-03,Lomark Daily,BassLine,"Murphy, Marshall and Pope__0__0__Lomark Daily",Lomark Daily
"Murphy, Marshall and Pope",Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Junior Shurdlu,2035-04-03 15:00:00,2035-04-03 15:00:00,2035-04-03,Lomark Daily,BassLine,"Murphy, Marshall and Pope__0__0__Lomark Daily",Lomark Daily
York-Castillo,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Melinda Manning,2035-04-03 15:00:00,2035-04-03 15:00:00,2035-04-03,Lomark Daily,BassLine,York-Castillo__0__0__Lomark Daily,Lomark Daily
York-Castillo,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Melinda Manning,2035-04-03 15:00:00,2035-04-03 15:00:00,2035-04-03,Lomark Daily,BassLine,York-Castillo__0__0__Lomark Daily,Lomark Daily
York-Castillo,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Melinda Manning,2035-04-03 15:00:00,2035-04-03 15:00:00,2035-04-03,Lomark Daily,BassLine,York-Castillo__0__0__Lomark Daily,Lomark Daily
York-Castillo,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Melinda Manning,2035-04-03 15:00:00,2035-04-03 15:00:00,2035-04-03,Lomark Daily,BassLine,York-Castillo__0__0__Lomark Daily,Lomark Daily
Harrell-Walters,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Haenyeo Hyun-Ki,2035-04-03 16:00:00,2035-04-03 16:00:00,2035-04-03,The News Buoy,BassLine,Harrell-Walters__0__0__The News Buoy,The News Buoy
Harrell-Walters,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Haenyeo Hyun-Ki,2035-04-03 16:00:00,2035-04-03 16:00:00,2035-04-03,The News Buoy,BassLine,Harrell-Walters__0__0__The News Buoy,The News Buoy
Harrell-Walters,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Haenyeo Hyun-Ki,2035-04-03 16:00:00,2035-04-03 16:00:00,2035-04-03,The News Buoy,BassLine,Harrell-Walters__0__0__The News Buoy,The News Buoy
Harrell-Walters,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Haenyeo Hyun-Ki,2035-04-03 16:00:00,2035-04-03 16:00:00,2035-04-03,The News Buoy,BassLine,Harrell-Walters__0__0__The News Buoy,The News Buoy
Harrell-Walters,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Tuna Shelf,Entity.Location.Region,Haenyeo Hyun-Ki,2035-04-03 16:00:00,2035-04-03 16:00:00,2035-04-03,The News Buoy,BassLine,Harrell-Walters__0__0__The News Buoy,The News Buoy
Harrell-Walters,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Haenyeo Hyun-Ki,2035-04-03 16:00:00,2035-04-03 16:00:00,2035-04-03,The News Buoy,BassLine,Harrell-Walters__0__0__The News Buoy,The News Buoy
Olsen Group,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Pelagia Alethea Mordoch,2035-04-03 17:00:00,2035-04-03 17:00:00,2035-04-03,Lomark Daily,BassLine,Olsen Group__0__0__Lomark Daily,Lomark Daily
Olsen Group,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Pelagia Alethea Mordoch,2035-04-03 17:00:00,2035-04-03 17:00:00,2035-04-03,Lomark Daily,BassLine,Olsen Group__0__0__Lomark Daily,Lomark Daily
Olsen Group,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Pelagia Alethea Mordoch,2035-04-03 17:00:00,2035-04-03 17:00:00,2035-04-03,Lomark Daily,BassLine,Olsen Group__0__0__Lomark Daily,Lomark Daily
York-Castillo,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Worf Peer,2035-04-03 18:00:00,2035-04-03 18:00:00,2035-04-03,Haacklee Herald,BassLine,York-Castillo__0__0__Haacklee Herald,Haacklee Herald
York-Castillo,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Worf Peer,2035-04-03 18:00:00,2035-04-03 18:00:00,2035-04-03,Haacklee Herald,BassLine,York-Castillo__0__0__Haacklee Herald,Haacklee Herald
Clark-Leon,Entity.Organization.FishingCompany,Event.Fishing,0.5,Wrasse Beds,Entity.Location.Region,Melinda Manning,2035-04-03 19:00:00,2035-04-03 19:00:00,2035-04-03,Haacklee Herald,ShadGPT,Clark-Leon__0__0__Haacklee Herald,Haacklee Herald
Clark-Leon,Entity.Organization.FishingCompany,Event.Fishing,0.5,Wrasse Beds,Entity.Location.Region,Melinda Manning,2035-04-03 19:00:00,2035-04-03 19:00:00,2035-04-03,Haacklee Herald,ShadGPT,Clark-Leon__0__0__Haacklee Herald,Haacklee Herald
Clark-Leon,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Melinda Manning,2035-04-03 19:00:00,2035-04-03 19:00:00,2035-04-03,Haacklee Herald,ShadGPT,Clark-Leon__0__0__Haacklee Herald,Haacklee Herald
Clark-Leon,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Melinda Manning,2035-04-03 19:00:00,2035-04-03 19:00:00,2035-04-03,Haacklee Herald,ShadGPT,Clark-Leon__0__0__Haacklee Herald,Haacklee Herald
Olsen Group,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Harvey Janus,2035-04-03 20:00:00,2035-04-03 20:00:00,2035-04-03,The News Buoy,ShadGPT,Olsen Group__0__0__The News Buoy,The News Buoy
Olsen Group,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Harvey Janus,2035-04-03 20:00:00,2035-04-03 20:00:00,2035-04-03,The News Buoy,ShadGPT,Olsen Group__0__0__The News Buoy,The News Buoy
Olsen Group,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Harvey Janus,2035-04-03 20:00:00,2035-04-03 20:00:00,2035-04-03,The News Buoy,ShadGPT,Olsen Group__0__0__The News Buoy,The News Buoy
Olsen Group,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Harvey Janus,2035-04-03 20:00:00,2035-04-03 20:00:00,2035-04-03,The News Buoy,ShadGPT,Olsen Group__0__0__The News Buoy,The News Buoy
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,Dry CreekWorldLogistics Ltd. Liability Co,Entity.Organization.LogisticsCompany,Melinda Manning,2035-04-03 21:00:00,2035-04-03 21:00:00,2035-04-03,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
City Of Lomark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,Dry CreekWorldLogistics Ltd. Liability Co,Entity.Organization.LogisticsCompany,Melinda Manning,2035-04-03 21:00:00,2035-04-03 21:00:00,2035-04-03,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
Dry CreekWorldLogistics Ltd. Liability Co,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Wrasse Beds,Entity.Location.Region,Melinda Manning,2035-04-03 21:00:00,2035-04-03 21:00:00,2035-04-03,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
City Of Lomark,Entity.Organization.GovernmentOrg,Event.Convicted,-1.0,Dry CreekWorldLogistics Ltd. Liability Co,Entity.Organization.LogisticsCompany,Melinda Manning,2035-04-03 21:00:00,2035-04-03 21:00:00,2035-04-03,Lomark Police Reports,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
Dry CreekWorldLogistics Ltd. Liability Co,Entity.Organization.LogisticsCompany,Event.Criticize,-1.0,Coral Reef Protection Coalition,Entity.Organization.NGO,Melinda Manning,2035-04-03 21:00:00,2035-04-03 21:00:00,2035-04-03,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
"Anderson, Brown and Green",Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Greta Grass-Hill,2035-04-03 21:00:00,2035-04-03 21:00:00,2035-04-03,The News Buoy,ShadGPT,"Anderson, Brown and Green__0__0__The News Buoy",The News Buoy
"Anderson, Brown and Green",Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Greta Grass-Hill,2035-04-03 21:00:00,2035-04-03 21:00:00,2035-04-03,The News Buoy,ShadGPT,"Anderson, Brown and Green__0__0__The News Buoy",The News Buoy
"Murray, Friedman and Wall",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Urashima Tarō,2035-04-03 23:00:00,2035-04-03 23:00:00,2035-04-03,Lomark Daily,ShadGPT,"Murray, Friedman and Wall__0__0__Lomark Daily",Lomark Daily
"Murray, Friedman and Wall",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Urashima Tarō,2035-04-03 23:00:00,2035-04-03 23:00:00,2035-04-03,Lomark Daily,ShadGPT,"Murray, Friedman and Wall__0__0__Lomark Daily",Lomark Daily
"Murray, Friedman and Wall",Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Urashima Tarō,2035-04-03 23:00:00,2035-04-03 23:00:00,2035-04-03,Lomark Daily,ShadGPT,"Murray, Friedman and Wall__0__0__Lomark Daily",Lomark Daily
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,Dry CreekWorldLogistics Ltd. Liability Co,Entity.Organization.LogisticsCompany,Junior Shurdlu,2035-04-04 00:00:00,2035-04-04 00:00:00,2035-04-04,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
Harrell-Walters,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Jack Inch,2035-04-04 00:00:00,2035-04-04 00:00:00,2035-04-04,Haacklee Herald,BassLine,Harrell-Walters__0__0__Haacklee Herald,Haacklee Herald
Dry CreekWorldLogistics Ltd. Liability Co,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Wrasse Beds,Entity.Location.Region,Junior Shurdlu,2035-04-04 00:00:00,2035-04-04 00:00:00,2035-04-04,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
Harrell-Walters,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Jack Inch,2035-04-04 00:00:00,2035-04-04 00:00:00,2035-04-04,Haacklee Herald,BassLine,Harrell-Walters__0__0__Haacklee Herald,Haacklee Herald
Harrell-Walters,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Jack Inch,2035-04-04 00:00:00,2035-04-04 00:00:00,2035-04-04,Haacklee Herald,BassLine,Harrell-Walters__0__0__Haacklee Herald,Haacklee Herald
Dry CreekWorldLogistics Ltd. Liability Co,Entity.Organization.LogisticsCompany,Event.Criticize,-1.0,Oceanus Guardians Alliance,Entity.Organization.NGO,Junior Shurdlu,2035-04-04 00:00:00,2035-04-04 00:00:00,2035-04-04,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
Harrell-Walters,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Jack Inch,2035-04-04 00:00:00,2035-04-04 00:00:00,2035-04-04,Haacklee Herald,BassLine,Harrell-Walters__0__0__Haacklee Herald,Haacklee Herald
Dry CreekWorldLogistics Ltd. Liability Co,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Wrasse Beds,Entity.Location.Region,Junior Shurdlu,2035-04-04 00:00:00,2035-04-04 00:00:00,2035-04-04,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
Dry CreekWorldLogistics Ltd. Liability Co,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Wrasse Beds,Entity.Location.Region,Junior Shurdlu,2035-04-04 00:00:00,2035-04-04 00:00:00,2035-04-04,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
Dry CreekWorldLogistics Ltd. Liability Co,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Wrasse Beds,Entity.Location.Region,Junior Shurdlu,2035-04-04 00:00:00,2035-04-04 00:00:00,2035-04-04,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
City Of Lomark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,Dry CreekWorldLogistics Ltd. Liability Co,Entity.Organization.LogisticsCompany,Junior Shurdlu,2035-04-04 00:00:00,2035-04-04 00:00:00,2035-04-04,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Nemo Reef,Entity.Location.Region,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Paackland Police Reports,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Tuna Shelf,Entity.Location.Region,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Lomark Daily,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Paackland Police Reports,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Lomark Daily,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Lomark Daily,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Lomark Daily,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Lomark Daily,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Criticize,-1.0,Oceanus Guardians Alliance,Entity.Organization.NGO,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Lomark Daily,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Paackland Police Reports,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Lomark Daily,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Ghoti Preserve,Entity.Location.Region,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Lomark Daily,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Lomark Daily,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Don Limpet Preserve,Entity.Location.Region,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Paackland Police Reports,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Lomark Daily,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-04-04 02:00:00,2035-04-04 02:00:00,2035-04-04,Lomark Daily,ShadGPT,Jones Group__0__0__Lomark Daily,Lomark Daily
Watson-Gray,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Greta Grass-Hill,2035-04-04 03:00:00,2035-04-04 03:00:00,2035-04-04,The News Buoy,ShadGPT,Watson-Gray__0__0__The News Buoy,The News Buoy
Harrington Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Clepper Jessen,2035-04-04 03:00:00,2035-04-04 03:00:00,2035-04-04,Haacklee Herald,BassLine,Harrington Inc__0__0__Haacklee Herald,Haacklee Herald
Watson-Gray,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Greta Grass-Hill,2035-04-04 03:00:00,2035-04-04 03:00:00,2035-04-04,The News Buoy,ShadGPT,Watson-Gray__0__0__The News Buoy,The News Buoy
Watson-Gray,Entity.Organization.FishingCompany,Event.Fishing,0.5,Wrasse Beds,Entity.Location.Region,Greta Grass-Hill,2035-04-04 03:00:00,2035-04-04 03:00:00,2035-04-04,The News Buoy,ShadGPT,Watson-Gray__0__0__The News Buoy,The News Buoy
Harper Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Urashima Tarō,2035-04-04 04:00:00,2035-04-04 04:00:00,2035-04-04,Haacklee Herald,BassLine,Harper Inc__0__0__Haacklee Herald,Haacklee Herald
Phillips-Newton,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Olokun Daramola,2035-04-04 06:00:00,2035-04-04 06:00:00,2035-04-04,The News Buoy,BassLine,Phillips-Newton__0__0__The News Buoy,The News Buoy
Phillips-Newton,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Olokun Daramola,2035-04-04 06:00:00,2035-04-04 06:00:00,2035-04-04,The News Buoy,BassLine,Phillips-Newton__0__0__The News Buoy,The News Buoy
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Jack Inch,2035-04-04 06:00:00,2035-04-04 06:00:00,2035-04-04,Haacklee Herald,ShadGPT,Jones Group__0__0__Haacklee Herald,Haacklee Herald
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Ghoti Preserve,Entity.Location.Region,Jack Inch,2035-04-04 06:00:00,2035-04-04 06:00:00,2035-04-04,Paackland Police Reports,ShadGPT,Jones Group__0__0__Haacklee Herald,Haacklee Herald
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Jack Inch,2035-04-04 06:00:00,2035-04-04 06:00:00,2035-04-04,Haacklee Herald,ShadGPT,Jones Group__0__0__Haacklee Herald,Haacklee Herald
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Criticize,-1.0,Oceanus Guardians Alliance,Entity.Organization.NGO,Jack Inch,2035-04-04 06:00:00,2035-04-04 06:00:00,2035-04-04,Haacklee Herald,ShadGPT,Jones Group__0__0__Haacklee Herald,Haacklee Herald
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Jack Inch,2035-04-04 06:00:00,2035-04-04 06:00:00,2035-04-04,Haacklee Herald,ShadGPT,Jones Group__0__0__Haacklee Herald,Haacklee Herald
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Jack Inch,2035-04-04 06:00:00,2035-04-04 06:00:00,2035-04-04,Haacklee Herald,ShadGPT,Jones Group__0__0__Haacklee Herald,Haacklee Herald
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Jack Inch,2035-04-04 06:00:00,2035-04-04 06:00:00,2035-04-04,Paackland Police Reports,ShadGPT,Jones Group__0__0__Haacklee Herald,Haacklee Herald
Phillips-Newton,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Olokun Daramola,2035-04-04 06:00:00,2035-04-04 06:00:00,2035-04-04,The News Buoy,BassLine,Phillips-Newton__0__0__The News Buoy,The News Buoy
Phillips-Newton,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Olokun Daramola,2035-04-04 06:00:00,2035-04-04 06:00:00,2035-04-04,The News Buoy,BassLine,Phillips-Newton__0__0__The News Buoy,The News Buoy
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Tuna Shelf,Entity.Location.Region,Jack Inch,2035-04-04 06:00:00,2035-04-04 06:00:00,2035-04-04,Haacklee Herald,ShadGPT,Jones Group__0__0__Haacklee Herald,Haacklee Herald
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-04-04 11:00:00,2035-04-04 11:00:00,2035-04-04,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy,The News Buoy
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Criticize,-1.0,SeaWatch Conservation Society,Entity.Organization.NGO,Olokun Daramola,2035-04-04 11:00:00,2035-04-04 11:00:00,2035-04-04,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy,The News Buoy
Kelly-Smith,Entity.Organization.FishingCompany,Event.Fishing,0.5,Wrasse Beds,Entity.Location.Region,Kristin Baker,2035-04-04 11:00:00,2035-04-04 11:00:00,2035-04-04,Haacklee Herald,ShadGPT,Kelly-Smith__0__0__Haacklee Herald,Haacklee Herald
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-04-04 11:00:00,2035-04-04 11:00:00,2035-04-04,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy,The News Buoy
NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-04-04 11:00:00,2035-04-04 11:00:00,2035-04-04,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy,The News Buoy
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Olokun Daramola,2035-04-04 11:00:00,2035-04-04 11:00:00,2035-04-04,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy,The News Buoy
Kelly-Smith,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Kristin Baker,2035-04-04 11:00:00,2035-04-04 11:00:00,2035-04-04,Lomark Daily,ShadGPT,Kelly-Smith__0__0__Lomark Daily,Lomark Daily
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,NamRiver Transit A/S,Entity.Organization.LogisticsCompany,Olokun Daramola,2035-04-04 11:00:00,2035-04-04 11:00:00,2035-04-04,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy,The News Buoy
Kelly-Smith,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Kristin Baker,2035-04-04 11:00:00,2035-04-04 11:00:00,2035-04-04,Haacklee Herald,ShadGPT,Kelly-Smith__0__0__Haacklee Herald,Haacklee Herald
Phillips-Newton,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Pelagia Alethea Mordoch,2035-04-04 13:00:00,2035-04-04 13:00:00,2035-04-04,Haacklee Herald,ShadGPT,Phillips-Newton__0__0__Haacklee Herald,Haacklee Herald
Harrington Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Harvey Janus,2035-04-04 15:00:00,2035-04-04 15:00:00,2035-04-04,The News Buoy,BassLine,Harrington Inc__0__0__The News Buoy,The News Buoy
Harrington Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Harvey Janus,2035-04-04 15:00:00,2035-04-04 15:00:00,2035-04-04,The News Buoy,BassLine,Harrington Inc__0__0__The News Buoy,The News Buoy
Harrington Inc,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Harvey Janus,2035-04-04 15:00:00,2035-04-04 15:00:00,2035-04-04,The News Buoy,BassLine,Harrington Inc__0__0__The News Buoy,The News Buoy
Harrington Inc,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Harvey Janus,2035-04-04 15:00:00,2035-04-04 15:00:00,2035-04-04,The News Buoy,BassLine,Harrington Inc__0__0__The News Buoy,The News Buoy
Watson-Gray,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Greta Grass-Hill,2035-04-04 18:00:00,2035-04-04 18:00:00,2035-04-04,Haacklee Herald,ShadGPT,Watson-Gray__0__0__Haacklee Herald,Haacklee Herald
Watson-Gray,Entity.Organization.FishingCompany,Event.Fishing,0.5,Wrasse Beds,Entity.Location.Region,Greta Grass-Hill,2035-04-04 18:00:00,2035-04-04 18:00:00,2035-04-04,Haacklee Herald,ShadGPT,Watson-Gray__0__0__Haacklee Herald,Haacklee Herald
Watson-Gray,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Greta Grass-Hill,2035-04-04 18:00:00,2035-04-04 18:00:00,2035-04-04,Haacklee Herald,ShadGPT,Watson-Gray__0__0__Haacklee Herald,Haacklee Herald
Watson-Gray,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Greta Grass-Hill,2035-04-04 18:00:00,2035-04-04 18:00:00,2035-04-04,Haacklee Herald,ShadGPT,Watson-Gray__0__0__Haacklee Herald,Haacklee Herald
