source,source_type,type,weight,target,target_type,_last_edited_by,_last_edited_date,_date_added,_date,_raw_source,_algorithm,_articleid
Harrell-Walters,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Kristin Baker,2035-05-21 15:00:00,2035-05-21 15:00:00,2035-05-21,The News Buoy,ShadGPT,Harrell-Walters__0__0__The News Buoy
Harrell-Walters,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Kristin Baker,2035-05-21 15:00:00,2035-05-21 15:00:00,2035-05-21,The News Buoy,ShadGPT,Harrell-Walters__0__0__The News Buoy
Harrell-Walters,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Kristin Baker,2035-05-21 15:00:00,2035-05-21 15:00:00,2035-05-21,The News Buoy,ShadGPT,Harrell-Walters__0__0__The News Buoy
Tainamarine Fishing Co,Entity.Organization.FishingCompany,Event.Fishing.OverFishing,-1,Cod Table,Entity.Location.Region,Olokun Daramola,2035-05-21 16:00:00,2035-05-21 16:00:00,2035-05-21,Haacklee Herald,ShadGPT,Jones Group__0__0__Haacklee Herald
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Fishing,0,Cod Table,Entity.Location.Region,Clepper Jessen,2035-05-21 16:00:00,2035-05-21 16:00:00,2035-05-21,The News Buoy,ShadGPT,Rivas-Stevens__0__0__The News Buoy
Tainamarine Fishing Co,Entity.Organization.FishingCompany,Event.Criticize,-1,Oceanus Guardians Alliance,Entity.Organization.NGO,Olokun Daramola,2035-05-21 16:00:00,2035-05-21 16:00:00,2035-05-21,Haacklee Herald,ShadGPT,Jones Group__0__0__Haacklee Herald
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1,Tainamarine Fishing Co,Entity.Organization.FishingCompany,Olokun Daramola,2035-05-21 16:00:00,2035-05-21 16:00:00,2035-05-21,Haacklee Herald,ShadGPT,Jones Group__0__0__Haacklee Herald
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1,Tainamarine Fishing Co,Entity.Organization.FishingCompany,Olokun Daramola,2035-05-21 16:00:00,2035-05-21 16:00:00,2035-05-21,Himark Police Reports,ShadGPT,Jones Group__0__0__Haacklee Herald
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1,Tainamarine Fishing Co,Entity.Organization.FishingCompany,Olokun Daramola,2035-05-21 16:00:00,2035-05-21 16:00:00,2035-05-21,Haacklee Herald,ShadGPT,Jones Group__0__0__Haacklee Herald
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Clepper Jessen,2035-05-21 16:00:00,2035-05-21 16:00:00,2035-05-21,The News Buoy,ShadGPT,Rivas-Stevens__0__0__The News Buoy
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Clepper Jessen,2035-05-21 16:00:00,2035-05-21 16:00:00,2035-05-21,The News Buoy,ShadGPT,Rivas-Stevens__0__0__The News Buoy
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Transaction,0,Montoya Group,Entity.Organization.FishingCompany,Clepper Jessen,2035-05-21 16:00:00,2035-05-21 16:00:00,2035-05-21,The News Buoy,ShadGPT,Rivas-Stevens__0__0__The News Buoy
Tainamarine Fishing Co,Entity.Organization.FishingCompany,Event.Fishing.OverFishing,-1,Ghoti Preserve,Entity.Location.Region,Olokun Daramola,2035-05-21 16:00:00,2035-05-21 16:00:00,2035-05-21,Himark Police Reports,ShadGPT,Jones Group__0__0__Haacklee Herald
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Urashima Tarō,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Urashima Tarō,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Transaction,0,Clark-Leon,Entity.Organization.FishingCompany,Greta Grass-Hill,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,The News Buoy,BassLine,"Brown, Clarke and Martinez__0__0__The News Buoy"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Greta Grass-Hill,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,The News Buoy,BassLine,"Brown, Clarke and Martinez__0__0__The News Buoy"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Greta Grass-Hill,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,The News Buoy,BassLine,"Brown, Clarke and Martinez__0__0__The News Buoy"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Transaction,0,Alvarez PLC,Entity.Organization.FishingCompany,Urashima Tarō,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Urashima Tarō,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Greta Grass-Hill,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,The News Buoy,BassLine,"Brown, Clarke and Martinez__0__0__The News Buoy"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Urashima Tarō,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Transaction,0,"Chapman, Hall and Miller",Entity.Organization.Company,Greta Grass-Hill,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,The News Buoy,BassLine,"Brown, Clarke and Martinez__0__0__The News Buoy"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Transaction,0,Cook PLC,Entity.Organization.FishingCompany,Urashima Tarō,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Transaction,0,Parrish LLC,Entity.Organization.Company,Urashima Tarō,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Transaction,0,"Bryant, Macdonald and Howard",Entity.Organization.Company,Urashima Tarō,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Cod Table,Entity.Location.Region,Urashima Tarō,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Fishing,0,Cod Table,Entity.Location.Region,Greta Grass-Hill,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,The News Buoy,BassLine,"Brown, Clarke and Martinez__0__0__The News Buoy"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Fishing,0,Cod Table,Entity.Location.Region,Urashima Tarō,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Urashima Tarō,2035-05-21 17:00:00,2035-05-21 17:00:00,2035-05-21,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
PregolyaDredge Logistics Incorporated,Entity.Organization.LogisticsCompany,Event.Invest,1,Efficiency,Entity.Commodity,Kristin Baker,2035-05-21 19:00:00,2035-05-21 19:00:00,2035-05-21,The News Buoy,ShadGPT,PregolyaDredge Logistics Incorporated__0__0__The News Buoy
PregolyaDredge Logistics Incorporated,Entity.Organization.LogisticsCompany,Event.Transaction,0,Moore-Simon,Entity.Organization.FishingCompany,Kristin Baker,2035-05-21 19:00:00,2035-05-21 19:00:00,2035-05-21,The News Buoy,ShadGPT,PregolyaDredge Logistics Incorporated__0__0__The News Buoy
PregolyaDredge Logistics Incorporated,Entity.Organization.LogisticsCompany,Event.Invest,1,Safety,Entity.Commodity,Kristin Baker,2035-05-21 19:00:00,2035-05-21 19:00:00,2035-05-21,The News Buoy,ShadGPT,PregolyaDredge Logistics Incorporated__0__0__The News Buoy
PregolyaDredge Logistics Incorporated,Entity.Organization.LogisticsCompany,Event.Transaction,0,Lopez-Delgado,Entity.Organization.Company,Kristin Baker,2035-05-21 19:00:00,2035-05-21 19:00:00,2035-05-21,The News Buoy,ShadGPT,PregolyaDredge Logistics Incorporated__0__0__The News Buoy
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Kristin Baker,2035-05-21 20:00:00,2035-05-21 20:00:00,2035-05-21,Lomark Daily,ShadGPT,Rivas-Stevens__0__0__Lomark Daily
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Kristin Baker,2035-05-21 20:00:00,2035-05-21 20:00:00,2035-05-21,Lomark Daily,ShadGPT,Rivas-Stevens__0__0__Lomark Daily
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Fishing,0,Tuna Shelf,Entity.Location.Region,Kristin Baker,2035-05-21 20:00:00,2035-05-21 20:00:00,2035-05-21,Lomark Daily,ShadGPT,Rivas-Stevens__0__0__Lomark Daily
Rosario-Melendez,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Olokun Daramola,2035-05-21 22:00:00,2035-05-21 22:00:00,2035-05-21,The News Buoy,BassLine,Rosario-Melendez__0__0__The News Buoy
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Transaction,0,Serrano-Cruz,Entity.Organization.FishingCompany,Junior Shurdlu,2035-05-21 23:00:00,2035-05-21 23:00:00,2035-05-21,Haacklee Herald,ShadGPT,Rivas-Stevens__0__0__Haacklee Herald
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Communication.Conference,1,Smith-Hull,Entity.Organization.FishingCompany,Junior Shurdlu,2035-05-21 23:00:00,2035-05-21 23:00:00,2035-05-21,Haacklee Herald,ShadGPT,Rivas-Stevens__0__0__Haacklee Herald
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Tuna Shelf,Entity.Location.Region,Junior Shurdlu,2035-05-21 23:00:00,2035-05-21 23:00:00,2035-05-21,Haacklee Herald,ShadGPT,Rivas-Stevens__0__0__Haacklee Herald
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Junior Shurdlu,2035-05-21 23:00:00,2035-05-21 23:00:00,2035-05-21,Haacklee Herald,ShadGPT,Rivas-Stevens__0__0__Haacklee Herald
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Junior Shurdlu,2035-05-21 23:00:00,2035-05-21 23:00:00,2035-05-21,Haacklee Herald,ShadGPT,Rivas-Stevens__0__0__Haacklee Herald
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Junior Shurdlu,2035-05-21 23:00:00,2035-05-21 23:00:00,2035-05-21,Haacklee Herald,ShadGPT,Rivas-Stevens__0__0__Haacklee Herald
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Junior Shurdlu,2035-05-21 23:00:00,2035-05-21 23:00:00,2035-05-21,Haacklee Herald,ShadGPT,Rivas-Stevens__0__0__Haacklee Herald
Rivas-Stevens,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Junior Shurdlu,2035-05-21 23:00:00,2035-05-21 23:00:00,2035-05-21,Haacklee Herald,ShadGPT,Rivas-Stevens__0__0__Haacklee Herald
Hughes-Clark,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Junior Shurdlu,2035-05-22 03:00:00,2035-05-22 03:00:00,2035-05-22,Lomark Daily,ShadGPT,Hughes-Clark__0__0__Lomark Daily
Hughes-Clark,Entity.Organization.FishingCompany,Event.Fishing,0,Tuna Shelf,Entity.Location.Region,Junior Shurdlu,2035-05-22 03:00:00,2035-05-22 03:00:00,2035-05-22,Lomark Daily,ShadGPT,Hughes-Clark__0__0__Lomark Daily
Hughes-Clark,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Junior Shurdlu,2035-05-22 03:00:00,2035-05-22 03:00:00,2035-05-22,Lomark Daily,ShadGPT,Hughes-Clark__0__0__Lomark Daily
"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Event.Fishing,0,Cod Table,Entity.Location.Region,Pelagia Alethea Mordoch,2035-05-22 04:00:00,2035-05-22 04:00:00,2035-05-22,Lomark Daily,BassLine,"Vasquez, Chaney and Martinez__0__0__Lomark Daily"
"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Pelagia Alethea Mordoch,2035-05-22 04:00:00,2035-05-22 04:00:00,2035-05-22,Lomark Daily,BassLine,"Vasquez, Chaney and Martinez__0__0__Lomark Daily"
"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Clepper Jessen,2035-05-22 04:00:00,2035-05-22 04:00:00,2035-05-22,The News Buoy,ShadGPT,"Vasquez, Chaney and Martinez__0__0__The News Buoy"
"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Clepper Jessen,2035-05-22 04:00:00,2035-05-22 04:00:00,2035-05-22,The News Buoy,ShadGPT,"Vasquez, Chaney and Martinez__0__0__The News Buoy"
"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Cod Table,Entity.Location.Region,Pelagia Alethea Mordoch,2035-05-22 04:00:00,2035-05-22 04:00:00,2035-05-22,Lomark Daily,BassLine,"Vasquez, Chaney and Martinez__0__0__Lomark Daily"
"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Event.Transaction,0,"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Clepper Jessen,2035-05-22 04:00:00,2035-05-22 04:00:00,2035-05-22,The News Buoy,ShadGPT,"Vasquez, Chaney and Martinez__0__0__The News Buoy"
"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Event.Transaction,0,Vargas-Jensen,Entity.Organization.FishingCompany,Pelagia Alethea Mordoch,2035-05-22 04:00:00,2035-05-22 04:00:00,2035-05-22,Lomark Daily,BassLine,"Vasquez, Chaney and Martinez__0__0__Lomark Daily"
"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Event.Communication.Conference,1,Jones Group,Entity.Organization.FishingCompany,Clepper Jessen,2035-05-22 04:00:00,2035-05-22 04:00:00,2035-05-22,The News Buoy,ShadGPT,"Vasquez, Chaney and Martinez__0__0__The News Buoy"
"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Event.Fishing,0,Cod Table,Entity.Location.Region,Clepper Jessen,2035-05-22 04:00:00,2035-05-22 04:00:00,2035-05-22,The News Buoy,ShadGPT,"Vasquez, Chaney and Martinez__0__0__The News Buoy"
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Transaction,0,Hernandez-Beasley,Entity.Organization.Company,Jack Inch,2035-05-22 08:00:00,2035-05-22 08:00:00,2035-05-22,The News Buoy,ShadGPT,"Taylor, Prince and Sherman__0__0__The News Buoy"
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Transaction,0,Wilson-Grant,Entity.Organization.Company,Jack Inch,2035-05-22 08:00:00,2035-05-22 08:00:00,2035-05-22,The News Buoy,ShadGPT,"Taylor, Prince and Sherman__0__0__The News Buoy"
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Fishing,0,Cod Table,Entity.Location.Region,Jack Inch,2035-05-22 08:00:00,2035-05-22 08:00:00,2035-05-22,The News Buoy,ShadGPT,"Taylor, Prince and Sherman__0__0__The News Buoy"
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Jack Inch,2035-05-22 08:00:00,2035-05-22 08:00:00,2035-05-22,The News Buoy,ShadGPT,"Taylor, Prince and Sherman__0__0__The News Buoy"
Hughes-Clark,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Haenyeo Hyun-Ki,2035-05-22 10:00:00,2035-05-22 10:00:00,2035-05-22,The News Buoy,BassLine,Hughes-Clark__0__0__The News Buoy
Hughes-Clark,Entity.Organization.FishingCompany,Event.Fishing,0,Cod Table,Entity.Location.Region,Haenyeo Hyun-Ki,2035-05-22 10:00:00,2035-05-22 10:00:00,2035-05-22,The News Buoy,BassLine,Hughes-Clark__0__0__The News Buoy
Hughes-Clark,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Cod Table,Entity.Location.Region,Haenyeo Hyun-Ki,2035-05-22 10:00:00,2035-05-22 10:00:00,2035-05-22,The News Buoy,BassLine,Hughes-Clark__0__0__The News Buoy
Hughes-Clark,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Haenyeo Hyun-Ki,2035-05-22 10:00:00,2035-05-22 10:00:00,2035-05-22,The News Buoy,BassLine,Hughes-Clark__0__0__The News Buoy
Hughes-Clark,Entity.Organization.FishingCompany,Event.Communication.Conference,1,Solis-Lopez,Entity.Organization.FishingCompany,Haenyeo Hyun-Ki,2035-05-22 10:00:00,2035-05-22 10:00:00,2035-05-22,The News Buoy,BassLine,Hughes-Clark__0__0__The News Buoy
Hughes-Clark,Entity.Organization.FishingCompany,Event.Transaction,0,Lutz-Fleming,Entity.Organization.FishingCompany,Haenyeo Hyun-Ki,2035-05-22 10:00:00,2035-05-22 10:00:00,2035-05-22,The News Buoy,BassLine,Hughes-Clark__0__0__The News Buoy
Hughes-Clark,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Haenyeo Hyun-Ki,2035-05-22 10:00:00,2035-05-22 10:00:00,2035-05-22,The News Buoy,BassLine,Hughes-Clark__0__0__The News Buoy
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Fishing,0,Cod Table,Entity.Location.Region,Greta Grass-Hill,2035-05-22 12:00:00,2035-05-22 12:00:00,2035-05-22,Haacklee Herald,ShadGPT,"Taylor, Prince and Sherman__0__0__Haacklee Herald"
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Transaction,0,"Valdez, Dalton and Cook",Entity.Organization.FishingCompany,Greta Grass-Hill,2035-05-22 12:00:00,2035-05-22 12:00:00,2035-05-22,Haacklee Herald,ShadGPT,"Taylor, Prince and Sherman__0__0__Haacklee Herald"
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Greta Grass-Hill,2035-05-22 12:00:00,2035-05-22 12:00:00,2035-05-22,Haacklee Herald,ShadGPT,"Taylor, Prince and Sherman__0__0__Haacklee Herald"
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Cod Table,Entity.Location.Region,Greta Grass-Hill,2035-05-22 12:00:00,2035-05-22 12:00:00,2035-05-22,Haacklee Herald,ShadGPT,"Taylor, Prince and Sherman__0__0__Haacklee Herald"
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Greta Grass-Hill,2035-05-22 12:00:00,2035-05-22 12:00:00,2035-05-22,Haacklee Herald,ShadGPT,"Taylor, Prince and Sherman__0__0__Haacklee Herald"
Phillips-Newton,Entity.Organization.FishingCompany,Event.Transaction,0,Kelly-Smith,Entity.Organization.FishingCompany,Melinda Manning,2035-05-22 13:00:00,2035-05-22 13:00:00,2035-05-22,Haacklee Herald,ShadGPT,Phillips-Newton__0__0__Haacklee Herald
Phillips-Newton,Entity.Organization.FishingCompany,Event.Communication.Conference,1,"Walker, Erickson and Blake",Entity.Organization.FishingCompany,Melinda Manning,2035-05-22 13:00:00,2035-05-22 13:00:00,2035-05-22,Haacklee Herald,ShadGPT,Phillips-Newton__0__0__Haacklee Herald
Phillips-Newton,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Melinda Manning,2035-05-22 13:00:00,2035-05-22 13:00:00,2035-05-22,Haacklee Herald,ShadGPT,Phillips-Newton__0__0__Haacklee Herald
Phillips-Newton,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Melinda Manning,2035-05-22 13:00:00,2035-05-22 13:00:00,2035-05-22,Haacklee Herald,ShadGPT,Phillips-Newton__0__0__Haacklee Herald
Phillips-Newton,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Melinda Manning,2035-05-22 13:00:00,2035-05-22 13:00:00,2035-05-22,Haacklee Herald,ShadGPT,Phillips-Newton__0__0__Haacklee Herald
Phillips-Newton,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Melinda Manning,2035-05-22 13:00:00,2035-05-22 13:00:00,2035-05-22,Haacklee Herald,ShadGPT,Phillips-Newton__0__0__Haacklee Herald
Phillips-Newton,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Haenyeo Hyun-Ki,2035-05-22 14:00:00,2035-05-22 14:00:00,2035-05-22,Lomark Daily,BassLine,Phillips-Newton__0__0__Lomark Daily
Phillips-Newton,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Haenyeo Hyun-Ki,2035-05-22 14:00:00,2035-05-22 14:00:00,2035-05-22,Lomark Daily,BassLine,Phillips-Newton__0__0__Lomark Daily
"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Kristin Baker,2035-05-22 16:00:00,2035-05-22 16:00:00,2035-05-22,Haacklee Herald,ShadGPT,"Vasquez, Chaney and Martinez__0__0__Haacklee Herald"
"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Kristin Baker,2035-05-22 16:00:00,2035-05-22 16:00:00,2035-05-22,Haacklee Herald,ShadGPT,"Vasquez, Chaney and Martinez__0__0__Haacklee Herald"
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Clepper Jessen,2035-05-22 18:00:00,2035-05-22 18:00:00,2035-05-22,Lomark Daily,BassLine,"Taylor, Prince and Sherman__0__0__Lomark Daily"
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Clepper Jessen,2035-05-22 18:00:00,2035-05-22 18:00:00,2035-05-22,Lomark Daily,BassLine,"Taylor, Prince and Sherman__0__0__Lomark Daily"
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Clepper Jessen,2035-05-22 18:00:00,2035-05-22 18:00:00,2035-05-22,Lomark Daily,BassLine,"Taylor, Prince and Sherman__0__0__Lomark Daily"
"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Clepper Jessen,2035-05-22 18:00:00,2035-05-22 18:00:00,2035-05-22,Lomark Daily,BassLine,"Taylor, Prince and Sherman__0__0__Lomark Daily"
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1,"Rasmussen, Nelson and King",Entity.Organization.FishingCompany,Melinda Manning,2035-05-22 20:00:00,2035-05-22 20:00:00,2035-05-22,Haacklee Herald,BassLine,"Rasmussen, Nelson and King__0__0__Haacklee Herald"
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1,"Rasmussen, Nelson and King",Entity.Organization.FishingCompany,Melinda Manning,2035-05-22 20:00:00,2035-05-22 20:00:00,2035-05-22,South Paackland Police Reports,BassLine,"Rasmussen, Nelson and King__0__0__Haacklee Herald"
"Rasmussen, Nelson and King",Entity.Organization.FishingCompany,Event.Fishing.OverFishing,-1,Tuna Shelf,Entity.Location.Region,Melinda Manning,2035-05-22 20:00:00,2035-05-22 20:00:00,2035-05-22,Haacklee Herald,BassLine,"Rasmussen, Nelson and King__0__0__Haacklee Herald"
"Rasmussen, Nelson and King",Entity.Organization.FishingCompany,Event.Fishing.OverFishing,-1,Ghoti Preserve,Entity.Location.Region,Melinda Manning,2035-05-22 20:00:00,2035-05-22 20:00:00,2035-05-22,South Paackland Police Reports,BassLine,"Rasmussen, Nelson and King__0__0__Haacklee Herald"
"Rasmussen, Nelson and King",Entity.Organization.FishingCompany,Event.Criticize,-1,Marine Sentinels Initiative,Entity.Organization.NGO,Melinda Manning,2035-05-22 20:00:00,2035-05-22 20:00:00,2035-05-22,Haacklee Herald,BassLine,"Rasmussen, Nelson and King__0__0__Haacklee Herald"
"Rasmussen, Nelson and King",Entity.Organization.FishingCompany,Event.Fishing.OverFishing,-1,Cod Table,Entity.Location.Region,Melinda Manning,2035-05-22 20:00:00,2035-05-22 20:00:00,2035-05-22,Haacklee Herald,BassLine,"Rasmussen, Nelson and King__0__0__Haacklee Herald"
"Rasmussen, Nelson and King",Entity.Organization.FishingCompany,Event.Fishing.OverFishing,-1,Nemo Reef,Entity.Location.Region,Melinda Manning,2035-05-22 20:00:00,2035-05-22 20:00:00,2035-05-22,Haacklee Herald,BassLine,"Rasmussen, Nelson and King__0__0__Haacklee Herald"
"Rasmussen, Nelson and King",Entity.Organization.FishingCompany,Event.Fishing.OverFishing,-1,Nemo Reef,Entity.Location.Region,Melinda Manning,2035-05-22 20:00:00,2035-05-22 20:00:00,2035-05-22,South Paackland Police Reports,BassLine,"Rasmussen, Nelson and King__0__0__Haacklee Herald"
"Rasmussen, Nelson and King",Entity.Organization.FishingCompany,Event.Fishing.OverFishing,-1,Wrasse Beds,Entity.Location.Region,Melinda Manning,2035-05-22 20:00:00,2035-05-22 20:00:00,2035-05-22,Haacklee Herald,BassLine,"Rasmussen, Nelson and King__0__0__Haacklee Herald"
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1,"Rasmussen, Nelson and King",Entity.Organization.FishingCompany,Melinda Manning,2035-05-22 20:00:00,2035-05-22 20:00:00,2035-05-22,Haacklee Herald,BassLine,"Rasmussen, Nelson and King__0__0__Haacklee Herald"
"Rasmussen, Nelson and King",Entity.Organization.FishingCompany,Event.Fishing.OverFishing,-1,Don Limpet Preserve,Entity.Location.Region,Melinda Manning,2035-05-22 20:00:00,2035-05-22 20:00:00,2035-05-22,South Paackland Police Reports,BassLine,"Rasmussen, Nelson and King__0__0__Haacklee Herald"
